Unnamed: 0,date,state,cases,deaths,cases_diff,death_diff
153,2020-3,Ohio,2548,65.0,2548,65.0
154,2020-3,Oklahoma,719,30.0,719,30.0
155,2020-3,Pennsylvania,5805,78.0,5805,78.0
156,2020-3,Puerto Rico,286,11.0,286,11.0
157,2020-3,South Carolina,1293,26.0,1293,26.0
158,2020-3,South Dakota,129,1.0,129,1.0
159,2020-3,Tennessee,2689,23.0,2689,23.0
160,2020-3,Vermont,321,16.0,321,16.0
161,2020-3,Virgin Islands,30,0.0,30,0.0
162,2020-3,Virginia,1511,18.0,1511,18.0
163,2020-3,West Virginia,191,2.0,191,2.0
164,2020-3,Wyoming,138,0.0,138,0.0
165,2020-4,Arizona,7962,330.0,6549,301.0
166,2020-4,California,52318,2147.0,42461,1935.0
167,2020-4,Illinois,56055,2464.0,49077,2318.0
168,2020-4,Massachusetts,64311,3716.0,56573,3594.0
169,2020-4,Washington,15134,829.0,9545,579.0
170,2020-4,Florida,34720,1313.0,26951,1213.0
171,2020-4,Nebraska,4838,72.0,4589,67.0
172,2020-4,New York,313575,23841.0,229211,21426.0
173,2020-4,Oregon,2579,104.0,1842,85.0
174,2020-4,Rhode Island,8962,279.0,8396,269.0
175,2020-4,Texas,30342,853.0,25940,788.0
176,2020-4,Utah,4829,46.0,3817,39.0
177,2020-4,Wisconsin,7439,327.0,5887,294.0
178,2020-4,Alabama,7294,289.0,6186,261.0
179,2020-4,Alaska,362,7.0,219,5.0
180,2020-4,Arkansas,3310,64.0,2686,54.0
181,2020-4,Colorado,15661,818.0,12315,738.0
182,2020-4,Connecticut,28764,2339.0,25207,2254.0
183,2020-4,Delaware,4918,159.0,4550,148.0
184,2020-4,District of Columbia,4658,231.0,4072,220.0
185,2020-4,Georgia,26436,1153.0,21689,999.0
186,2020-4,Guam,1115,6.0,968,3.0
187,2020-4,Hawaii,610,16.0,352,15.0
188,2020-4,Idaho,2035,63.0,1366,54.0
189,2020-4,Indiana,18941,1175.0,16363,1095.0
190,2020-4,Iowa,7883,170.0,7334,161.0
191,2020-4,Kansas,4510,136.0,4021,125.0
192,2020-4,Kentucky,4879,248.0,4205,228.0
193,2020-4,Louisiana,28754,1970.0,22330,1695.0
194,2020-4,Maine,1123,55.0,779,48.0
195,2020-4,Maryland,23566,1192.0,21581,1159.0
196,2020-4,Michigan,42348,3866.0,33056,3530.0
197,2020-4,Minnesota,5730,371.0,5041,354.0
198,2020-4,Mississippi,7212,281.0,6139,259.0
199,2020-4,Missouri,7840,355.0,6260,334.0
200,2020-4,Montana,452,16.0,233,11.0
201,2020-4,Nevada,5249,254.0,3970,222.0
202,2020-4,New Hampshire,2310,81.0,1895,77.0
203,2020-4,New Jersey,121190,7538.0,98935,7183.0
204,2020-4,New Mexico,3513,131.0,3150,125.0
205,2020-4,North Carolina,10922,405.0,9331,394.0
206,2020-4,North Dakota,1107,23.0,960,20.0
207,2020-4,Northern Mariana Islands,14,2.0,8,1.0
208,2020-4,Ohio,18743,1002.0,16195,937.0
209,2020-4,Oklahoma,3748,230.0,3029,200.0
210,2020-4,Pennsylvania,49764,2671.0,43959,2593.0
211,2020-4,Puerto Rico,1573,94.0,1287,83.0
212,2020-4,South Carolina,6258,256.0,4965,230.0
213,2020-4,South Dakota,2525,21.0,2396,20.0
214,2020-4,Tennessee,11781,205.0,9092,182.0
215,2020-4,Vermont,879,49.0,558,33.0
216,2020-4,Virgin Islands,66,4.0,36,4.0
217,2020-4,Virginia,16903,581.0,15392,563.0
